words,sentences
"లయన్,కింగ్,జూలై,9,,2019,న,హాలీవుడ్,లాస్,ఏంజిల్స్‌లో,ప్రదర్శించబడింది,మరియు,జూలై,19,,2019,న,డాల్బీ,సినిమా,రియల్,3,డి,మరియు,ఐమాక్స్,ఫార్మాట్లలో,యునైటెడ్,స్టేట్స్లో,థియేట్రికల్‌గా,విడుదలైంది","లయన్ కింగ్ జూలై 9, 2019 న హాలీవుడ్ లాస్ ఏంజిల్స్‌లో ప్రదర్శించబడింది మరియు జూలై 19, 2019 న డాల్బీ సినిమా రియల్ 3 డి మరియు ఐమాక్స్ ఫార్మాట్లలో యునైటెడ్ స్టేట్స్లో థియేట్రికల్‌గా విడుదలైంది"
"ఈ,చిత్రం,విమర్శకుల,నుండి,మిశ్రమ,సమీక్షలను,అందుకుంది,,వాస్తవికత,లేకపోవడాన్ని,చాలా,మంది,విమర్శించారు,మరియు,అసలుకి,దాదాపు,ఒకేలా,ఉన్నారు","ఈ చిత్రం విమర్శకుల నుండి మిశ్రమ సమీక్షలను అందుకుంది, వాస్తవికత లేకపోవడాన్ని చాలా మంది విమర్శించారు మరియు అసలుకి దాదాపు ఒకేలా ఉన్నారు"
"అయితే,ఇది,1,కంటే,ఎక్కువ,వసూలు,చేసింది",అయితే ఇది 1 కంటే ఎక్కువ వసూలు చేసింది
"ప్రపంచవ్యాప్తంగా,6,బిలియన్లు,థియేట్రికల్,పరుగులో,మరియు,అనేక,బాక్సాఫిస్,రికార్డులను,బద్దలు,కొట్టింది,,వీటిలో,ఆగస్టు,2019,నుండి,ఎప్పటికప్పుడు,అత్యధికంగా,యానిమేటెడ్,ఫిల్మ్,అవ్వడంతో,సహా","ప్రపంచవ్యాప్తంగా 6 బిలియన్లు థియేట్రికల్ పరుగులో మరియు అనేక బాక్సాఫిస్ రికార్డులను బద్దలు కొట్టింది, వీటిలో ఆగస్టు 2019 నుండి ఎప్పటికప్పుడు అత్యధికంగా యానిమేటెడ్ ఫిల్మ్ అవ్వడంతో సహా"
"ఇది,ఎప్పటికప్పుడు,సెవెన్‌హైస్ట్‌గ్రోసింగ్,ఫిల్మ్‌గా,మారింది,మరియు,2019,యొక్క,సెకండ్,హైగ్‌గ్రోసింగ్,ఫిల్మ్,మరియు,ఇప్పటి,వరకు,అత్యధిక,వసూళ్లు,చేసిన,డిస్నీ,రీడ్యాప్టేషన్",ఇది ఎప్పటికప్పుడు సెవెన్‌హైస్ట్‌గ్రోసింగ్ ఫిల్మ్‌గా మారింది మరియు 2019 యొక్క సెకండ్ హైగ్‌గ్రోసింగ్ ఫిల్మ్ మరియు ఇప్పటి వరకు అత్యధిక వసూళ్లు చేసిన డిస్నీ రీడ్యాప్టేషన్
"ఈ,చిత్రం,77,వ,గోల్డెన్,గ్లోబ్,అవార్డులు,మరియు,25,వ,క్రిటిక్స్,ఛాయిస్,అవార్డులలో,ఉత్తమ,యానిమేటెడ్,ఫీచర్,ఫిల్మ్,మరియు,ఒరిజినల్,సాంగ్,వర్గాలకు,నామినేషన్లు,అందుకుంది",ఈ చిత్రం 77 వ గోల్డెన్ గ్లోబ్ అవార్డులు మరియు 25 వ క్రిటిక్స్ ఛాయిస్ అవార్డులలో ఉత్తమ యానిమేటెడ్ ఫీచర్ ఫిల్మ్ మరియు ఒరిజినల్ సాంగ్ వర్గాలకు నామినేషన్లు అందుకుంది
"విజువల్,ఎఫెక్ట్స్,కోసం,ఇది,73,వ,బ్రిటిష్,అకాడమీ,ఫిల్మ్,అవార్డులు,మరియు,92,వ,అకాడమీ,అవార్డులలో,కూడా,ఎంపికైంది",విజువల్ ఎఫెక్ట్స్ కోసం ఇది 73 వ బ్రిటిష్ అకాడమీ ఫిల్మ్ అవార్డులు మరియు 92 వ అకాడమీ అవార్డులలో కూడా ఎంపికైంది
"ముఫాసా,ది,లయన్,కింగ్,అనే,ప్రీక్వెల్,చిత్రం,డిసెంబర్,20,2024,న,విడుదల,కానుంది",ముఫాసా ది లయన్ కింగ్ అనే ప్రీక్వెల్ చిత్రం డిసెంబర్ 20 2024 న విడుదల కానుంది
"ప్లాట్,టాంజానియా,యొక్క,అహంకార,భూములలో,,ప్రైడ్,రాక్,నుండి,జంతు,రాజ్యంపై,లయన్స్,పాలన,యొక్క,గర్వం","ప్లాట్
టాంజానియా యొక్క అహంకార భూములలో, ప్రైడ్ రాక్ నుండి జంతు రాజ్యంపై లయన్స్ పాలన యొక్క గర్వం"
"కింగ్,ముఫాసా,మరియు,క్వీన్,సారాబీ,తమ,నవజాత,కుమారుడు,సింబాను,సేకరణ,జంతువులకు,రఫీకి,ర్యాఫీకి,ది,మాండ్రిల్,ది,కింగ్డమ్స్,షమన్,మరియు,సలహాదారు",కింగ్ ముఫాసా మరియు క్వీన్ సారాబీ తమ నవజాత కుమారుడు సింబాను సేకరణ జంతువులకు రఫీకి ర్యాఫీకి ది మాండ్రిల్ ది కింగ్డమ్స్ షమన్ మరియు సలహాదారు
"ముఫాసా,సింబా,అహంకార,భూములను,చూపిస్తాడు,మరియు,రాజ్య,యొక్క,బాధ్యతలను,మరియు,అన్ని,జీవులను,అనుసంధానించే,జీవిత,వృత్తం,మరియు,జీవిత,వృత్తం,అతనికి,వివరిస్తాడు",ముఫాసా సింబా అహంకార భూములను చూపిస్తాడు మరియు రాజ్య యొక్క బాధ్యతలను మరియు అన్ని జీవులను అనుసంధానించే జీవిత వృత్తం మరియు జీవిత వృత్తం అతనికి వివరిస్తాడు
"ముఫాసా,యొక్క,తమ్ముడు,మచ్చ,సింహాసనం,మరియు,ప్లాట్లను,కవర్,చేయడానికి,ముఫాసా,మరియు,సింబాను,వదిలించుకోవడానికి,ప్లాట్లను,కవర్,చేస్తుంది,,తద్వారా,అతను,రాజు,కావచ్చు","ముఫాసా యొక్క తమ్ముడు మచ్చ సింహాసనం మరియు ప్లాట్లను కవర్ చేయడానికి ముఫాసా మరియు సింబాను వదిలించుకోవడానికి ప్లాట్లను కవర్ చేస్తుంది, తద్వారా అతను రాజు కావచ్చు"
"ఒక,రోజు,సింబా,మరియు,అతని,బెస్ట్,ఫ్రెండ్,నాలా,ఏనుగు,స్మశానవాటిక",ఒక రోజు సింబా మరియు అతని బెస్ట్ ఫ్రెండ్ నాలా ఏనుగు స్మశానవాటిక
"ముఫాసా,హిజ్,మజోర్డోమో,ది,హార్న్‌బిల్,జాజు,నుండి,జరిగిన,సంఘటన,గురించి,వింటాడు,మరియు,పిల్లలను,రక్షించాడు",ముఫాసా హిజ్ మజోర్డోమో ది హార్న్‌బిల్ జాజు నుండి జరిగిన సంఘటన గురించి వింటాడు మరియు పిల్లలను రక్షించాడు
"సింబాను,అతనికి,అవిధేయత,చూపినందుకు,మరియు,తనను,మరియు,నాలాను,ప్రమాదంలో,పడినందుకు,ముఫాసా,అతన్ని,క్షమించి,,గత,గొప్ప,రాజులు,రాత్రి,ఆకాశం,నుండి,వారిపై,గత,గడియారాలు,ఒక,రోజు,సింబాపై,చూస్తాడు,అని,వివరించాడు","సింబాను అతనికి అవిధేయత చూపినందుకు మరియు తనను మరియు నాలాను ప్రమాదంలో పడినందుకు ముఫాసా అతన్ని క్షమించి, గత గొప్ప రాజులు రాత్రి ఆకాశం నుండి వారిపై గత గడియారాలు ఒక రోజు సింబాపై చూస్తాడు అని వివరించాడు"
"ఇంతలో,,మొత్తం,విషయం,ప్లాన్,చేసిన,స్కార్,హైనాలను,సందర్శించి,,అహంకార,భూములలో,వేట,హక్కులకు,బదులుగా,ముఫాసాను,పడగొట్టడానికి,సహాయం,చేయమని,వారిని,ఒప్పించాడు","ఇంతలో, మొత్తం విషయం ప్లాన్ చేసిన స్కార్ హైనాలను సందర్శించి, అహంకార భూములలో వేట హక్కులకు బదులుగా ముఫాసాను పడగొట్టడానికి సహాయం చేయమని వారిని ఒప్పించాడు"
"స్కార్,ముఫాసా,మరియు,సింబా,సింబాను,ఒక,జార్జ్‌లోకి,రప్పించడం,మరియు,హైనాస్,ఒక,పెద్ద,మందను,వైల్డ్‌బీస్ట్,ఒక,తొక్కిసలాటలో,నడుపుతుంది,,అది,అతనిని,తొక్కి్చేది","స్కార్ ముఫాసా మరియు సింబా సింబాను ఒక జార్జ్‌లోకి రప్పించడం మరియు హైనాస్ ఒక పెద్ద మందను వైల్డ్‌బీస్ట్ ఒక తొక్కిసలాటలో నడుపుతుంది, అది అతనిని తొక్కి్చేది"
"అతను,ముఫాసాకు,సింబాస్,పెరిల్,గురించి,తెలియజేస్తాడు",అతను ముఫాసాకు సింబాస్ పెరిల్ గురించి తెలియజేస్తాడు
"ముఫాసా,సింబాను,ఆదా,చేస్తుంది,,కానీ,గోర్జెస్,అంచు,నుండి,ప్రమాదకరంగా,వేలాడుతోంది","ముఫాసా సింబాను ఆదా చేస్తుంది, కానీ గోర్జెస్ అంచు నుండి ప్రమాదకరంగా వేలాడుతోంది"
"ముఫాసాకు,బదులుగా,అతని,మరణానికి,పడిపోయేలా,చేయడానికి,స్కార్,నిరాకరించింది",ముఫాసాకు బదులుగా అతని మరణానికి పడిపోయేలా చేయడానికి స్కార్ నిరాకరించింది
"అతను,ముఫాసా,మరణం,తన,తప్పు,అని,ఆలోచిస్తూ,సింబానును,మోసగిస్తాడు,మరియు,అహంకార,భూములను,విడిచిపెట్టమని,చెబుతాడు,మరియు,తిరిగి,రాలేదు",అతను ముఫాసా మరణం తన తప్పు అని ఆలోచిస్తూ సింబానును మోసగిస్తాడు మరియు అహంకార భూములను విడిచిపెట్టమని చెబుతాడు మరియు తిరిగి రాలేదు
"అతన్ని,చంపమని,అతను,హైనాస్‌ను,ఆదేశిస్తాడు,కాని,సింబా,తప్పించుకుంటాడు",అతన్ని చంపమని అతను హైనాస్‌ను ఆదేశిస్తాడు కాని సింబా తప్పించుకుంటాడు
"స్కార్,అహంకారానికి,చెబుతుంది,,స్టాంపేడ్,ముఫాసా,మరియు,సింబాను,చంపి,,కొత్త,రాజు,హైనాలను,అహంకార,భూములలో,నివసించడానికి,అనుమతించే,కొత్త,రాజుగా,ముందుకు,అడుగులు,వేస్తాడు","స్కార్ అహంకారానికి చెబుతుంది, స్టాంపేడ్ ముఫాసా మరియు సింబాను చంపి, కొత్త రాజు హైనాలను అహంకార భూములలో నివసించడానికి అనుమతించే కొత్త రాజుగా ముందుకు అడుగులు వేస్తాడు"
"రెండు,బహిష్కరించబడిన,టిమోన్,మరియు,పుంబా,ఎ,మీర్కట్,మరియు,వర్తోగ్,రెస్క్యూ,సింబా,ఎడారిలో,కూలిపోతారు",రెండు బహిష్కరించబడిన టిమోన్ మరియు పుంబా ఎ మీర్కట్ మరియు వర్తోగ్ రెస్క్యూ సింబా ఎడారిలో కూలిపోతారు
"సింబా,తన,ఇద్దరు,కొత్త,స్నేహితులు,మరియు,ఇతర,జంతువులతో,ఒయాసిస్‌లో,పెరుగుతాడు,,స్వాహిలిలో,చింతించకండి","సింబా తన ఇద్దరు కొత్త స్నేహితులు మరియు ఇతర జంతువులతో ఒయాసిస్‌లో పెరుగుతాడు, స్వాహిలిలో చింతించకండి"
"ఎదిగిన,సింబా,టిమోన్,మరియు,పుంబాను,ఆకలితో,ఉన్న,సింహరాశి,నుండి,రక్షించాడు,,అతను,నాలా,అని,తేలింది","ఎదిగిన సింబా టిమోన్ మరియు పుంబాను ఆకలితో ఉన్న సింహరాశి నుండి రక్షించాడు, అతను నాలా అని తేలింది"
"ఆమె,మరియు,సింబా,తిరిగి,కలుస్తారు,మరియు,ప్రేమలో,పడతారు,మరియు,అహంకార,భూములు,మచ్చల,పాలనలో,కరువు,నిర్మాణాలుగా,మారాయి,అని,చెప్పి,ఇంటికి,తిరిగి,రావాలని,ఆమె,అతన్ని,కోరింది",ఆమె మరియు సింబా తిరిగి కలుస్తారు మరియు ప్రేమలో పడతారు మరియు అహంకార భూములు మచ్చల పాలనలో కరువు నిర్మాణాలుగా మారాయి అని చెప్పి ఇంటికి తిరిగి రావాలని ఆమె అతన్ని కోరింది
"ముఫాసా,మరణానికి,కారణమైన,అపరాధభావంతో,సింబా,నిరాకరించింది,మరియు,తుఫానులు",ముఫాసా మరణానికి కారణమైన అపరాధభావంతో సింబా నిరాకరించింది మరియు తుఫానులు
"అప్పుడు,అతను,రఫీకిని,ఎదుర్కొంటాడు,,అతను,ముఫాసాస్,స్పిరిట్,సింబాలో,నివసిస్తున్నాడని,చెబుతాడు","అప్పుడు అతను రఫీకిని ఎదుర్కొంటాడు, అతను ముఫాసాస్ స్పిరిట్ సింబాలో నివసిస్తున్నాడని చెబుతాడు"
"సింబాను,రాత్రి,ఆకాశంలో,ముఫాసా,దెయ్యం,సందర్శిస్తాడు,,అతను,రాజుగా,తన,సరైన,స్థానాన్ని,పొందాలి,అని,అతనికి,చెబుతాడు","సింబాను రాత్రి ఆకాశంలో ముఫాసా దెయ్యం సందర్శిస్తాడు, అతను రాజుగా తన సరైన స్థానాన్ని పొందాలి అని అతనికి చెబుతాడు"
"హెడ్,​​తన,గతం,నుండి,చాలా,కాలం,నుండి,నడుస్తున్నాడని,గ్రహించిన,సింబా,అహంకార,భూములకు,తిరిగి,రావాలని,నిర్ణయించుకుంటాడు",హెడ్ ​​తన గతం నుండి చాలా కాలం నుండి నడుస్తున్నాడని గ్రహించిన సింబా అహంకార భూములకు తిరిగి రావాలని నిర్ణయించుకుంటాడు
"అతని,స్నేహితుల,సహాయంతో,సింబా,ప్రైడ్,రాక్,వద్ద,హైనాస్,దాటిపోతాడు,మరియు,సారాబీతో,పోరాడబోయే,స్కార్ను,ఎదుర్కొంటాడు",అతని స్నేహితుల సహాయంతో సింబా ప్రైడ్ రాక్ వద్ద హైనాస్ దాటిపోతాడు మరియు సారాబీతో పోరాడబోయే స్కార్ను ఎదుర్కొంటాడు
"ముఫాసా,మరణంలో,తన,పాత్రపై,స్కార్,టౌంట్,సింబా,మరియు,అతన్ని,రాక్,అంచు,వరకు,వెనక్కి,తీసుకుంటాడు,,అక్కడ,అతను,ముఫాసాను,చంపాడని,అతను,అతనికి,వెల్లడించాడు","ముఫాసా మరణంలో తన పాత్రపై స్కార్ టౌంట్ సింబా మరియు అతన్ని రాక్ అంచు వరకు వెనక్కి తీసుకుంటాడు, అక్కడ అతను ముఫాసాను చంపాడని అతను అతనికి వెల్లడించాడు"
"కోపంతో,ఉన్న,సింబా,మిగిలిన,అహంకారానికి,నిజం,చెబుతుంది",కోపంతో ఉన్న సింబా మిగిలిన అహంకారానికి నిజం చెబుతుంది
"స్కార్,తనను,తాను,రక్షించుకోవడానికి,ప్రయత్నిస్తాడు,,కాని,ముఫాసా,యొక్క,చివరి,క్షణం,గురించి,అతని,జ్ఞానం,గతంలో,అతను,చాలా,ఆలస్యంగా,వచ్చాడని,పేర్కొన్నప్పటికీ,,ముఫాసా,మరణంలో,అతను,తన,పాత్రను,బహిర్గతం,చేశాడు","స్కార్ తనను తాను రక్షించుకోవడానికి ప్రయత్నిస్తాడు, కాని ముఫాసా యొక్క చివరి క్షణం గురించి అతని జ్ఞానం గతంలో అతను చాలా ఆలస్యంగా వచ్చాడని పేర్కొన్నప్పటికీ, ముఫాసా మరణంలో అతను తన పాత్రను బహిర్గతం చేశాడు"
"టిమోన్,పుంబా,రఫీకి,జాజు,మరియు,సింహరాశులు,హైనాస్,నుండి,తప్పించుకుంటారు,,అయితే,మచ్చ,తప్పించుకోవడానికి,ప్రయత్నించే,ప్రయత్నం,ప్రైడ్,రాక్,పైభాగంలో,ఉన్న,ఒక,లెడ్జ్,వద్ద,మూలన,ఉంది","టిమోన్ పుంబా రఫీకి జాజు మరియు సింహరాశులు హైనాస్ నుండి తప్పించుకుంటారు, అయితే మచ్చ తప్పించుకోవడానికి ప్రయత్నించే ప్రయత్నం ప్రైడ్ రాక్ పైభాగంలో ఉన్న ఒక లెడ్జ్ వద్ద మూలన ఉంది"
"స్కార్,దయ,కోసం,వేడుకుంటుంది,మరియు,హైనాస్,సింబాపై,అతని,నేరాలను,నిందించడానికి,ప్రయత్నిస్తుంది,,కాని,అహంకార,భూములను,ఎప్పటికీ,విడిచిపెట్టమని,ఆదేశిస్తుంది","స్కార్ దయ కోసం వేడుకుంటుంది మరియు హైనాస్ సింబాపై అతని నేరాలను నిందించడానికి ప్రయత్నిస్తుంది, కాని అహంకార భూములను ఎప్పటికీ విడిచిపెట్టమని ఆదేశిస్తుంది"
"స్కార్,సింబా,నిరాకరించింది,మరియు,దాడి,చేస్తుంది,కాని,సింబా,క్లుప్త,పోరాటం,తర్వాత,అతన్ని,కొండపై,నుండి,విసిరివేస్తాడు",స్కార్ సింబా నిరాకరించింది మరియు దాడి చేస్తుంది కాని సింబా క్లుప్త పోరాటం తర్వాత అతన్ని కొండపై నుండి విసిరివేస్తాడు
"మచ్చ,పతనం,నుండి,బయటపడుతుంది,,కాని,దాడి,చేసి,,హైనాస్,చేత,చంపబడతాడు,,అతను,వారికి,ద్రోహం,చేయడానికి,చేసిన,ప్రయత్నాన్ని,విరపించుకున్నాడు","మచ్చ పతనం నుండి బయటపడుతుంది, కాని దాడి చేసి, హైనాస్ చేత చంపబడతాడు, అతను వారికి ద్రోహం చేయడానికి చేసిన ప్రయత్నాన్ని విరపించుకున్నాడు"
"తరువాత,సింబా,రాజ్యాన్ని,తీసుకొని,నాలాను,తన,రాణిగా,చేస్తుంది",తరువాత సింబా రాజ్యాన్ని తీసుకొని నాలాను తన రాణిగా చేస్తుంది
"అహంకార,భూములు,దాని,సాధారణ,రాష్ట్రానికి,పునరుద్ధరించబడిన,రఫీకి,సింబా,మరియు,నాలాస్,నవజాత,పిల్ల,పిల్లలను,సమీకరించిన,జంతువులకు,జీవిత,వృత్తాన్ని,కొనసాగిస్తున్నారు",అహంకార భూములు దాని సాధారణ రాష్ట్రానికి పునరుద్ధరించబడిన రఫీకి సింబా మరియు నాలాస్ నవజాత పిల్ల పిల్లలను సమీకరించిన జంతువులకు జీవిత వృత్తాన్ని కొనసాగిస్తున్నారు
"వాయిస్,కాస్ట్,అహంకార,భూముల,క్రౌన్,ప్రిన్స్,అయిన,సింబా,లయన్‌గా,డోనాల్డ్,గ్లోవర్","వాయిస్ కాస్ట్
అహంకార భూముల క్రౌన్ ప్రిన్స్ అయిన సింబా లయన్‌గా డోనాల్డ్ గ్లోవర్"
"గ్లోవర్,మాట్లాడుతూ,,ఈ,చిత్రం,సింబాస్,సమయం,మీద,ఎక్కువ,దృష్టి,పెడుతుందని,అసలు,చిత్రం,కంటే,ఎక్కువ,దృష్టి,పెడుతుంది,,ఫావ్‌రో,చాలా,ఆసక్తిగా,ఉందని,,సింబాస్,బాలుడి,నుండి,మనిషికి,పరివర్తన,చెందడాన్ని,మేము,చూశాము,మరియు,లోతైన,గాయం,అయినప్పుడు,అది,ఎంత,కష్టమవుతుంది","గ్లోవర్ మాట్లాడుతూ, ఈ చిత్రం సింబాస్ సమయం మీద ఎక్కువ దృష్టి పెడుతుందని అసలు చిత్రం కంటే ఎక్కువ దృష్టి పెడుతుంది, ఫావ్‌రో చాలా ఆసక్తిగా ఉందని, సింబాస్ బాలుడి నుండి మనిషికి పరివర్తన చెందడాన్ని మేము చూశాము మరియు లోతైన గాయం అయినప్పుడు అది ఎంత కష్టమవుతుంది"
"యువ,సింబాగా,జెడి,మెక్‌కారీ",యువ సింబాగా జెడి మెక్‌కారీ
"పుంబా,స్లో,విటెడ్,వర్తోగ్,పాత్రలో,సేథ్,రోజెన్,అతను,ఇంటి,నుండి,పారిపోయిన,తరువాత,యువ,సింబాకు,స్నేహం,చేస్తాడు,మరియు,దత్తత,తీసుకుంటాడు",పుంబా స్లో విటెడ్ వర్తోగ్ పాత్రలో సేథ్ రోజెన్ అతను ఇంటి నుండి పారిపోయిన తరువాత యువ సింబాకు స్నేహం చేస్తాడు మరియు దత్తత తీసుకుంటాడు
"రోజెన్,నటుడిగా,చెప్పాడు",రోజెన్ నటుడిగా చెప్పాడు
"ప్రతి,రోలేథెరెకు,సరైనది,అని,అనుకోకండి,,సినిమాల్లో,కూడా,నేను,సరైన,పాత్రలు,అని,అనుకోను,,ఇమ్,మేకింగ్‌బట్,పుంబా,నేను,బాగా,చేయగలనని,నాకు,తెలుసు","ప్రతి రోలేథెరెకు సరైనది అని అనుకోకండి, సినిమాల్లో కూడా నేను సరైన పాత్రలు అని అనుకోను, ఇమ్ మేకింగ్‌బట్ పుంబా నేను బాగా చేయగలనని నాకు తెలుసు"
"ఫావ్‌రౌ,రోజెన్,మరియు,టిమోన్స్,బిల్లీ,ఐచ్నర్‌లను,ప్రోత్సహించారు,,వారు,చాలా,మెరుగుపరచడానికి,వారి,వాయిస్,రికార్డింగ్‌లు,చేశారు","ఫావ్‌రౌ రోజెన్ మరియు టిమోన్స్ బిల్లీ ఐచ్నర్‌లను ప్రోత్సహించారు, వారు చాలా మెరుగుపరచడానికి వారి వాయిస్ రికార్డింగ్‌లు చేశారు"
"రోజెన్స్,కాస్టింగ్,కూడా,పుంబాను,ఎర్నీ,సబెల్లా,పోషించలేదని,సూచిస్తుంది,,అతను,అప్పటి,వరకు,పాత్ర,పాల్గొన్న,ప్రతి,డిస్నీ,ప్రాజెక్ట్,కోసం,పాత్రను,తిరిగి,పొందాడు","రోజెన్స్ కాస్టింగ్ కూడా పుంబాను ఎర్నీ సబెల్లా పోషించలేదని సూచిస్తుంది, అతను అప్పటి వరకు పాత్ర పాల్గొన్న ప్రతి డిస్నీ ప్రాజెక్ట్ కోసం పాత్రను తిరిగి పొందాడు"
